"x","y"
-5,25
-4.99,24.9001
-4.98,24.8004
-4.97,24.7009
-4.96,24.6016
-4.95,24.5025
-4.94,24.4036
-4.93,24.3049
-4.92,24.2064
-4.91,24.1081
-4.9,24.01
-4.89,23.9121
-4.88,23.8144
-4.87,23.7169
-4.86,23.6196
-4.85,23.5225
-4.84,23.4256
-4.83,23.3289
-4.82,23.2324
-4.81,23.1361
-4.8,23.04
-4.79,22.9441
-4.78,22.8484
-4.77,22.7529
-4.76,22.6576
-4.75,22.5625
-4.74,22.4676
-4.73,22.3729
-4.72,22.2784
-4.71,22.1841
-4.7,22.09
-4.69,21.9961
-4.68,21.9024
-4.67,21.8089
-4.66,21.7156
-4.65,21.6225
-4.64,21.5296
-4.63,21.4369
-4.62,21.3444
-4.61,21.2521
-4.6,21.16
-4.59,21.0681
-4.58,20.9764
-4.57,20.8849
-4.56,20.7936
-4.55,20.7025
-4.54,20.6116
-4.53,20.5209
-4.52,20.4304
-4.51,20.3401
-4.5,20.25
-4.49,20.1601
-4.48,20.0704
-4.47,19.9809
-4.46,19.8916
-4.45,19.8025
-4.44,19.7136
-4.43,19.6249
-4.42,19.5364
-4.41,19.4481
-4.4,19.36
-4.39,19.2721
-4.38,19.1844
-4.37,19.0969
-4.36,19.0096
-4.35,18.9225
-4.34,18.8356
-4.33,18.7489
-4.32,18.6624
-4.31,18.5761
-4.3,18.49
-4.29,18.4041
-4.28,18.3184
-4.27,18.2329
-4.26,18.1476
-4.25,18.0625
-4.24,17.9776
-4.23,17.8929
-4.22,17.8084
-4.21,17.7241
-4.2,17.64
-4.19,17.5561
-4.18,17.4724
-4.17,17.3889
-4.16,17.3056
-4.15,17.2225
-4.14,17.1396
-4.13,17.0569
-4.12,16.9744
-4.11,16.8921
-4.1,16.81
-4.09,16.7281
-4.08,16.6464
-4.07,16.5649
-4.06,16.4836
-4.05,16.4025
-4.04,16.3216
-4.03,16.2409
-4.02,16.1604
-4.01,16.0801
-4,16
-3.99,15.9201
-3.98,15.8404
-3.97,15.7609
-3.96,15.6816
-3.95,15.6025
-3.94,15.5236
-3.93,15.4449
-3.92,15.3664
-3.91,15.2881
-3.9,15.21
-3.89,15.1321
-3.88,15.0544
-3.87,14.9769
-3.86,14.8996
-3.85,14.8225
-3.84,14.7456
-3.83,14.6689
-3.82,14.5924
-3.81,14.5161
-3.8,14.44
-3.79,14.3641
-3.78,14.2884
-3.77,14.2129
-3.76,14.1376
-3.75,14.0625
-3.74,13.9876
-3.73,13.9129
-3.72,13.8384
-3.71,13.7641
-3.7,13.69
-3.69,13.6161
-3.68,13.5424
-3.67,13.4689
-3.66,13.3956
-3.65,13.3225
-3.64,13.2496
-3.63,13.1769
-3.62,13.1044
-3.61,13.0321
-3.6,12.96
-3.59,12.8881
-3.58,12.8164
-3.57,12.7449
-3.56,12.6736
-3.55,12.6025
-3.54,12.5316
-3.53,12.4609
